Nmodes,noise_level,viability_mean,viability_std,cond_mean,fragility_mean,cp_mean,entropy_mean,failure_rate
2,0.0,1.0,0.0,1.0638873813848517,1.5097695219863047e-17,0.020850627780593357,2.1761001739821135,0.0
2,0.01,1.0,0.0,1.0665977733885366,1.809111942168967e-17,0.020856425021675423,2.1762197454638654,0.0
2,0.02,1.0,0.0,1.0763918805568438,2.2013603233969644e-17,0.020634698532997264,2.1772966204877564,0.0
2,0.05,1.0,0.0,1.1331227292891934,3.6745754191231715e-17,0.019792890653745673,2.1776482697205597,0.0
2,0.1,1.0,0.0,1.248611348493391,6.624674585727148e-17,0.017959654578806154,2.16086047422625,0.0
3,0.0,1.0,0.0,2.234046359416923,5.332371435373632e-16,0.00882914036014254,2.7101019141578457,0.0
3,0.01,1.0,0.0,2.2391651633957093,4.256573294184844e-16,0.00886515291043314,2.7097710109675415,0.0
3,0.02,1.0,0.0,2.2302859850168475,4.2667624861527626e-16,0.008462524403372956,2.707115320321746,0.0
3,0.05,1.0,0.0,2.2412578890113446,4.4377402025462806e-16,0.00857708727570467,2.7026615982327162,0.0
3,0.1,0.996419781444103,0.01881100192573616,2.2609231164589296,4.45053811293541e-16,0.007340813819338903,2.6671464678632812,0.0
4,0.0,0.8129705840265723,2.220446049250313e-16,4.643807664642111,9.75760710160304e-16,0.0044742305098533575,2.902048899436724,0.0
4,0.01,0.8136996318886516,0.01470183809007932,4.641134692125826,1.0959858234517317e-15,0.004517249670603919,2.9002011136174026,0.0
4,0.02,0.815137516507605,0.028938156419059495,4.637569359979325,1.1234599075891353e-15,0.004417578003389585,2.902078242040426,0.0
4,0.05,0.8272747921482199,0.06652482880282794,4.547465026395832,1.1016939730797998e-15,0.0040547121391463666,2.8940435883552733,0.0
4,0.1,0.848289628978569,0.10199291829365348,4.523364277760114,1.0425101572354758e-15,0.005115324914207134,2.883088846021297,0.0
5,0.0,0.5498394988139578,1.1102230246251565e-16,11.596334023970385,3.002139499737508e-15,0.002868788008831592,2.9963225560665343,0.0
5,0.01,0.5516243028103898,0.014698114562794613,11.548424791369015,2.1443675704712066e-15,0.0028177347391208775,2.9993255551987605,0.0
5,0.02,0.5499930321207118,0.028040929815495,11.830596044050958,2.128322576718629e-15,0.0029399939860581432,3.002500810925351,0.0
5,0.05,0.5707987221202642,0.06423121952714986,11.981014789289668,2.107352532538719e-15,0.005214055006258274,3.015993578922653,0.0
5,0.1,0.6369732730480692,0.10571841499053458,10.102682540890209,1.961336927053971e-15,0.008731280198590242,3.0346013702718415,0.0
6,0.0,0.464431072818528,5.551115123125783e-17,20.619621930004115,3.2660417545943687e-15,0.0020975052614054975,3.1890958220716095,0.0
6,0.01,0.4660776961361912,0.016542474671979297,20.683407925318214,3.154907670827467e-15,0.0022871630557248935,3.190970841761331,0.0
6,0.02,0.46144705321126117,0.032278634362116886,22.428271606918234,3.222617649911696e-15,0.00304543646531027,3.194117742125928,0.0
6,0.05,0.4763335540616376,0.06904721025104381,26.629937056700115,3.2270963290452304e-15,0.007103624956676633,3.207953910097407,0.0
6,0.1,0.5133773950027808,0.09583087928638373,25.228759987565617,3.1980072036442808e-15,0.011273145950630106,3.2385916708038343,0.0
